Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,Observation-level footnotes,COMMENT_OBS,Value
2012,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.71304
2013,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.77441
2014,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.7292
2015,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.69013
2016,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.65597
2017,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.72503
2018,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.81883
2019,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.93301
2020,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.91862
2011,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Obs_Value = 0;  ,,0.6415
2012,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Obs_Value = 0;  ,,0.61601
2013,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Obs_Value = 0;  ,,0.76783
2015,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Obs_Value = 0;  ,,0.39957
2016,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Obs_Value = 0;  ,,0.34642
2017,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Obs_Value = 0;  ,,0.33319
2018,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Obs_Value = 0;  ,,0.38949
2019,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Obs_Value = 0;  ,,0.01084
2020,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2011,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.01145
2012,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.09052
2015,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.27343
2016,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.28374
2017,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.3185
2018,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.29944
2011,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.00455
2012,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.0065
2013,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.00657
2014,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.0099
2015,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.01713
2016,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.02581
2017,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.07334
2018,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 10 Mbit/s or above,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.1299
2002,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,1200.0
2003,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,2383.0
2004,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,7665.0
2005,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,18028.0
2006,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,28926.0
2007,C,Agence de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,38132.0
2008,C,Agence de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,47358.0
2009,C,Agence de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,58720.0
2010,C,Agence de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,78647.0
2011,C,Agence de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,92713.0
2012,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,95561.0
2013,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,106733.0
2014,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,103362.0
2015,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,100611.0
2016,C,ARTP,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,98353.0
2017,C,ARTP,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,111795.0
2018,C,ARTP,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,129820.0
2019,C,ARTP,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,152047.0
2020,C,ARTP,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,ARTP,,,153813.0
2011,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,ARTP,Obs_Value = 0;  ,,83612.0
2012,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,ARTP,Obs_Value = 0;  ,,82558.0
2013,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,ARTP,Obs_Value = 0;  ,,105825.0
2015,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,ARTP,Obs_Value = 0;  ,c'est supérieur ou égal à 512 Mbit/s et inférieur à 2 Mbit/s,58251.0
2016,C,ARTP,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,ARTP,Obs_Value = 0;  ,c'est supérieur ou égal à 512 Mbit/s et inférieur à 2 Mbit/s,51941.0
2017,C,ARTP,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,ARTP,Obs_Value = 0;  ,,51376.0
2018,C,ARTP,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,ARTP,Obs_Value = 0;  ,,61751.0
2019,C,ARTP,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,ARTP,Obs_Value = 0;  ,,1766.0
2020,C,ARTP,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,ARTP,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2011,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,ARTP,c'est égal à 2 Mbit/s,,1493.0
2012,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,ARTP,c'est égal à 2 Mbit/s,,12132.0
2015,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,ARTP,c'est égal à 2 Mbit/s,c'est égal à 2 Mbit/s,39862.0
2016,C,ARTP,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,ARTP,c'est égal à 2 Mbit/s,c'est égal à 2 Mbit/s,42542.0
2017,C,ARTP,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,ARTP,c'est égal à 2 Mbit/s,,49110.0
2018,C,ARTP,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,ARTP,c'est égal à 2 Mbit/s,,47474.0
2011,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,ARTP,c'est égal à 10 Mbit/s,,593.0
2012,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,ARTP,c'est égal à 10 Mbit/s,,871.0
2013,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,ARTP,c'est égal à 10 Mbit/s,,906.0
2014,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,ARTP,c'est égal à 10 Mbit/s,,1403.0
2015,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,ARTP,c'est égal à 10 Mbit/s,c'est égal à 10 Mbit/s,2498.0
2016,C,ARTP,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,ARTP,c'est égal à 10 Mbit/s,c'est égal à 10 Mbit/s,3870.0
2017,C,ARTP,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,ARTP,c'est égal à 10 Mbit/s,,11309.0
2018,C,ARTP,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,ARTP,c'est égal à 10 Mbit/s,,20595.0
