Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality trophic state (%) [6.6.1],Deviation Level: Extreme (75-100%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.06351
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality trophic state (%) [6.6.1],Deviation Level: High (50-75%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1.19479
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality trophic state (%) [6.6.1],Deviation Level: High (50-75%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.69808
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality trophic state (%) [6.6.1],Deviation Level: High (50-75%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.54104
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality trophic state (%) [6.6.1],Deviation Level: High (50-75%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.70695
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality trophic state (%) [6.6.1],Deviation Level: Low (0-25%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,82.305
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality trophic state (%) [6.6.1],Deviation Level: Low (0-25%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,96.03903
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality trophic state (%) [6.6.1],Deviation Level: Low (0-25%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,75.54835
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality trophic state (%) [6.6.1],Deviation Level: Low (0-25%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,88.17981
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality trophic state (%) [6.6.1],Deviation Level: Medium (25-50%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,16.43886
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality trophic state (%) [6.6.1],Deviation Level: Medium (25-50%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,3.1767
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality trophic state (%) [6.6.1],Deviation Level: Medium (25-50%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,7.22944
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality trophic state (%) [6.6.1],Deviation Level: Medium (25-50%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,11.04974
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,19.39271
2001,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,18.99234
2002,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,25.09739
2003,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,31.36393
2004,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,31.00887
2005,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,30.83111
2006,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,30.59724
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,29.97999
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,29.57008
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,29.22785
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,28.99581
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,28.79604
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,29.14023
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,29.07789
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,29.12356
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,28.97433
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,24.59496
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,24.56566
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,24.65739
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,24.57006
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,24.71664
2021,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,28.00628
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.0001
2001,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.0001
2002,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00013
2003,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00016
2004,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00016
2005,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00016
2006,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00016
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00016
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00015
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00015
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00015
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00015
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00015
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00015
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00015
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00015
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00013
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00013
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00013
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00013
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00013
2021,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00015
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,32.85223
2001,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,31.77011
2002,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,42.27278
2003,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,52.85649
2004,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,52.4899
2005,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,52.78644
2006,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,52.16447
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,51.66993
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,51.46667
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,51.00027
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,51.8831
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,51.80245
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,51.45915
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,51.66509
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,51.54012
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,49.47481
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,50.69716
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,50.8831
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,50.01249
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,50.2134
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,50.54822
2021,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,50.08123
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00017
2001,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00017
2002,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00022
2003,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00027
2004,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00027
2005,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00027
2006,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00027
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00027
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00027
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00026
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00027
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00027
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00027
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00027
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00027
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00026
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00026
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00026
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00026
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00026
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00026
2021,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00026
2021,C,Ramsar National Report COP14,Extent of human made wetlands (square kilometres) [6.6.1],,Square kilometers,Country Data,Ramsar National Report COP14,,,1400.0
2021,C,Ramsar National Report COP14,Extent of inland wetlands (square kilometres) [6.6.1],,Square kilometers,Country Data,Ramsar National Report COP14,,,32000.0
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area baseline (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,Represent 1996 proxy,Represent 1996 proxy,1300.17
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area baseline (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Represent 1996 proxy,1300.17
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area baseline (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Represent 1996 proxy,1300.17
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area baseline (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Represent 1996 proxy,1300.17
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area baseline (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Represent 1996 proxy,1300.17
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area baseline (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Represent 1996 proxy,1300.17
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area baseline (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Represent 1996 proxy,1300.17
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove total area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,Obs_Value = 0;  Represent 1996 proxy,Obs_Value = 0;  Represent 1996 proxy,0.0
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove total area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,-1.21
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove total area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,-1.15
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove total area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,-1.15
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove total area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,-1.24
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove total area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,-2.7
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove total area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,-4.02
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area gain (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,Obs_Value = 0;  Represent 1996 proxy,Obs_Value = 0;  Represent 1996 proxy,0.0
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area gain (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,25.66
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area gain (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,27.0
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area gain (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,27.7
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area gain (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,30.49
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area gain (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,25.2
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area gain (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,22.19
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area gain (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,Obs_Value = 0;  Represent 1996 proxy,Obs_Value = 0;  Represent 1996 proxy,0.0
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area gain (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,1.97
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area gain (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,2.08
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area gain (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,2.13
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area gain (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,2.35
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area gain (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,1.94
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area gain (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,1.71
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area loss (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,Obs_Value = 0;  Represent 1996 proxy,Obs_Value = 0;  Represent 1996 proxy,0.0
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area loss (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,41.36
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area loss (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,41.99
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area loss (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,42.67
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area loss (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,46.63
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area loss (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,60.36
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area loss (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,74.52
